camera,imgtype,zoom,exposure,gain,frame,lifter,timestamp,id,plantbarcode,treatment,cartag,measurementlabel,other,image,in_bounds,area,convex_hull_area,solidity,perimeter,width,height,longest_path,convex_hull_vertices,object_in_frame,ellipse_major_axis,ellipse_minor_axis,ellipse_angle,ellipse_eccentricity,hue_circular_mean,hue_circular_std,hue_median
none,none,none,none,none,none,none,03dpi,#2,Col-0,wt,none,none,none,./ath_tcv_images/tcv/Col-0_wt_#2_03dpi.JPG,True,761314.0,1153979.5,0.6597292239593511,9134.844589352608,1295,1188,9602,39,True,1116.6029052734375,1015.4682006835938,111.63753509521484,0.4158648305873121,101.44891958620114,102.0,102.0
none,none,none,none,none,none,none,09dpi,#9,Col-0,M,none,none,none,./ath_tcv_images/mock/Col-0_M_#9_09dpi.JPG,True,1844540.0,2734161.5,0.6746273034712836,15888.390292286873,1838,1856,13102,28,True,1624.3642578125,1613.1766357421875,0.0,0.11716370591929678,107.33552038567834,108.0,108.0
none,none,none,none,none,none,none,05dpi,#4,Col-0,wt,none,none,none,./ath_tcv_images/tcv/Col-0_wt_#4_05dpi.JPG,True,1171329.0,1763496.5,0.6642082930133403,11671.7890137434,1538,1604,11299,34,True,1422.345458984375,1247.7938232421875,27.237213134765625,0.4799807598719211,103.60795091032524,104.0,104.0
none,none,none,none,none,none,none,15dpi,#9,Col-0,M,none,none,none,./ath_tcv_images/mock/Col-0_M_#9_15dpi.JPG,True,1972684.0,2984820.0,0.66090551524045,16406.193457722664,1938,1949,14579,30,True,1710.0447998046875,1672.0115966796875,104.98005676269531,0.20973184912474888,105.27159943248088,106.0,106.0
none,none,none,none,none,none,none,07dpi,#8,Col-0,M,none,none,none,./ath_tcv_images/mock/Col-0_M_#8_07dpi.JPG,True,1034293.0,1823468.0,0.5672120377215284,10817.466077208519,1628,1632,11271,45,True,1426.923095703125,1289.935546875,61.884944915771484,0.42753679907833414,103.8910465307117,104.0,104.0
none,none,none,none,none,none,none,11dpi,#3,Col-0,wt,none,none,none,./ath_tcv_images/tcv/Col-0_wt_#3_11dpi.JPG,True,1368439.0,2134596.0,0.6410763441887832,16046.236878037453,1604,1576,12878,33,True,1563.376220703125,1319.8800048828125,120.4535140991211,0.5359499384402379,92.37431854744747,94.0,94.0
none,none,none,none,none,none,none,03dpi,#7,Col-0,M,none,none,none,./ath_tcv_images/mock/Col-0_M_#7_03dpi.JPG,True,746162.0,1411496.0,0.5286320329636074,10333.112826704979,1489,1371,10210,49,True,1284.5172119140625,1126.44677734375,112.46379852294922,0.4805966702232461,99.30272606665521,100.0,100.0
none,none,none,none,none,none,none,17dpi,#1,Col-0,wt,none,none,none,./ath_tcv_images/tcv/Col-0_wt_#1_17dpi.JPG,True,1707109.0,2686242.5,0.6355007040503603,13994.864257335663,1769,1847,13646,38,True,1735.7744140625,1588.1390380859375,28.93515968322754,0.403577353741107,78.82318533444906,82.0,82.0
none,none,none,none,none,none,none,11dpi,#4,Col-0,wt,none,none,none,./ath_tcv_images/tcv/Col-0_wt_#4_11dpi.JPG,True,1343043.0,2041490.0,0.6578739058236877,12700.979043126106,1550,1678,13559,31,True,1561.5689697265625,1321.6832275390625,24.85704803466797,0.5325769466075968,95.07541220440163,96.0,96.0
none,none,none,none,none,none,none,01dpi,#9,Col-0,M,none,none,none,./ath_tcv_images/mock/Col-0_M_#9_01dpi.JPG,True,1153404.0,2223958.0,0.5186267006840957,14312.13458263874,1740,1823,11876,30,True,1481.1641845703125,1432.58349609375,135.6953582763672,0.25401221468306895,102.59498410318652,102.0,102.0
none,none,none,none,none,none,none,-01dpi,#1,Col-0,wt,none,none,none,./ath_tcv_images/tcv/Col-0_wt_#1_-01dpi.JPG,True,899180.0,1559140.5,0.5767151837823468,9913.292416334152,1616,1469,10927,31,True,1330.658935546875,1196.074462890625,75.82368469238281,0.43823840510782425,107.89740771468368,106.0,106.0
none,none,none,none,none,none,none,05dpi,#6,Col-0,M,none,none,none,./ath_tcv_images/mock/Col-0_M_#6_05dpi.JPG,True,1055220.0,1953035.5,0.5402973985879929,12610.334381580353,1759,1604,12326,38,True,1424.850341796875,1316.3648681640625,94.82776641845703,0.3827261266961471,99.04154032118696,100.0,100.0
none,none,none,none,none,none,none,17dpi,#2,Col-0,wt,none,none,none,./ath_tcv_images/tcv/Col-0_wt_#2_17dpi.JPG,True,1005220.0,1742309.5,0.5769468627703631,11293.424447059631,1618,1524,11880,40,True,1367.1263427734375,1215.3489990234375,60.4995231628418,0.4579445702339835,75.83303212323514,80.0,80.0
none,none,none,none,none,none,none,05dpi,#3,Col-0,wt,none,none,none,./ath_tcv_images/tcv/Col-0_wt_#3_05dpi.JPG,True,1219981.0,1892811.5,0.644533805928377,12923.859205007553,1549,1491,11906,41,True,1393.905517578125,1296.4686279296875,115.8204574584961,0.3673116552288848,102.91283260581866,102.0,102.0
none,none,none,none,none,none,none,17dpi,#7,Col-0,M,none,none,none,./ath_tcv_images/mock/Col-0_M_#7_17dpi.JPG,True,1993894.0,2808685.0,0.7099030329139793,13511.023637652397,1806,1975,14563,45,True,1727.511474609375,1665.9698486328125,151.96644592285156,0.26453690864772533,103.2814840834218,104.0,104.0
none,none,none,none,none,none,none,03dpi,#1,Col-0,wt,none,none,none,./ath_tcv_images/tcv/Col-0_wt_#1_03dpi.JPG,True,1256012.0,1992438.0,0.6303895027097456,13273.155668377876,1674,1576,11867,42,True,1444.9947509765625,1325.015869140625,96.22178649902344,0.3989577010472539,102.39307480049564,102.0,102.0
none,none,none,none,none,none,none,13dpi,#8,Col-0,M,none,none,none,./ath_tcv_images/mock/Col-0_M_#8_13dpi.JPG,True,1606742.0,2483723.0,0.6469086931191602,13889.207403182983,1912,1831,14499,41,True,1699.800537109375,1460.879150390625,55.20735168457031,0.511234076228534,104.55174302815088,104.0,104.0
